Title,Authors,Year,Venue,DOI
Balancing data privacy and usability in the federal statistical system,"['VJ Hotz', 'CR Bollinger', 'T Komarova', 'CF Manski']",2022,Proceedings of the …,https://www.pnas.org/doi/abs/10.1073/pnas.2104906119
Data Sharing in the Federal Statistical System: Impediments and Possibilities,"[""A O'hara"", 'C Medalia']",2018,… ANNALS of the American Academy of …,https://journals.sagepub.com/doi/abs/10.1177/0002716217740863
Federal Statistics for Applied Economists,['KR Smith'],2013,Choices,https://www.jstor.org/stable/pdf/choices.28.3.16.pdf
Protecting Privacy and Confidentiality While Providing Access to Data for Research Use,"['BA Harris-Kojetin', 'RM Groves']",2017,… in Federal Statistics …,https://www.ncbi.nlm.nih.gov/books/NBK425868/
Confidentiality legislation and the United States federal statistical system,['JS Cecil'],1993,Journal of Official Statistics,https://search.proquest.com/openview/970596f2406469cc45867cf06d468d82/1?pq-origsite=gscholar&cbl=105444
Federal Statistical Activities,"['MG Sirken', 'FE Linder', 'HW Ketchum', 'J Storck']",1958,American Statistician,https://www.jstor.org/stable/2681509
"Federal Statistics, Multiple Data Sources, and Privacy Protection: Next Steps","['BA Harris-Kojetin', 'RM Groves']",2018,NA,https://books.google.com/books?hl=en&lr=&id=K1RFDwAAQBAJ&oi=fnd&pg=PR1&dq=Federal+Statistical+Research+Data+Centers&ots=uMDB2dOURo&sig=53EF8Z8VfNBDBIJOQO1_UfN7gNs
Federal Statistical Activities,"['SL Wolfbein', 'ED Goldfield', 'RM Walsh', 'M Schiferl']",1961,American Statistician,https://www.jstor.org/stable/2682623
Organizing to count: Change in the federal statistical system,['JL Norwood'],1995,NA,https://books.google.com/books?hl=en&lr=&id=eEMW866gCGwC&oi=fnd&pg=PR7&dq=Federal+Statistical+Research+Data+Centers&ots=UuC_AUzGRE&sig=6nECUKKgQ7MfRLVpZwkl5HnFP_I
"Federal statistical directory: The guide to personnel and data sources: By William R. Evinger. Pheonix, AZ: Oryx Press, 1987, 127 pages, hardcover …",['JL Beasley'],1989,Government Information Quarterly,N/A
Prevalence of pressure ulcers in hospitalized patients in Germany in 2005: data from the Federal Statistical Office,"['K Kröger', 'W Niebel', 'I Maier', 'J Stausberg', 'V Gerber']",2009,Gerontology,https://karger.com/ger/article-abstract/55/3/281/148975
Window on Washington: Five Years Later—Reflections from inside the Federal Statistical System,['CF Citro'],1999,CHANCE,https://www.tandfonline.com/doi/pdf/10.1080/09332480.1999.10542140
Trends of mortality rate in patients with congenital heart defects in Germany—analysis of nationwide data of the Federal Statistical Office of Germany,"['H Abdul-Khaliq', 'D Gomes', 'S Meyer', 'R von Kries']",2024,Clinical Research in …,https://link.springer.com/article/10.1007/s00392-023-02370-6
"Council of Professional Associations on Federal Statistics, September-December 1999",['S Tulis'],2000,DttP,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/dttp28&section=26
Federal Statistical Research Data Centers.,['US Census Bureau'],NA,NA,N/A
Federal statistics on healthcare benefits and cost trends: an overview,"['JE Buckley', 'RW Van Glezen']",2004,Monthly Lab. Rev.,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/month127&section=113
An overview of state-level data on child well-being available through the federal statistical system,"['B Brown', 'KA Moore', 'C Trends']",2007,Prepared for the Annie E. Casey …,https://www.researchgate.net/profile/Kristin-Moore-2/publication/260386984_An_Overview_of_State-Level_Data_on_Child_Well-Being_Available_through_the_Federal_Statistical_System/links/54d8c3750cf24647581b8a2b/An-Overview-of-State-Level-Data-on-Child-Well-Being-Available-through-the-Federal-Statistical-System.pdf
A Guide to State and Local-Level Indicators of Child Well-Being Available through the Federal Statistical System.,"['BV Brown', 'C Botsko']",1996,NA,https://eric.ed.gov/?id=ED423951
Women Leaders in Federal Statistics,['MM Seastrom'],2015,Leadership and Women in Statistics,https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.1201/b18730-18&type=chapterpdf
Measurement matters: Comparing old and new definitions of rape in federal statistical reporting,"['DM Bierie', 'JC Davis-Siegel']",2015,Sexual Abuse,https://journals.sagepub.com/doi/abs/10.1177/1079063214521470
Lower limb amputation in Germany: An analysis of data from the German Federal Statistical Office between 2005 and 2014,"['K Kröger', 'C Berg', 'F Santosa', 'N Malyar']",2017,Deutsches Ärzteblatt …,https://pmc.ncbi.nlm.nih.gov/articles/PMC5374258/
Development of the federal statistical system public opinion survey,"['JH Childs', 'S Willson', 'SW Martinez']",2012,… Survey Research …,http://www.asasrms.org/Proceedings/y2012/Files/400242_500695.pdf
Consolidation and standardization of survey operations at a decentralized federal statistical agency,"['J Nealon', 'E Gleaton']",2013,Journal of Official Statistics,https://journals.sagepub.com/doi/abs/10.2478/jos-2013-0002
Data center network virtualization: A survey,"['MF Bari', 'R Boutaba', 'R Esteves']",2012,… surveys & tutorials,https://ieeexplore.ieee.org/abstract/document/6308765/
Federal statistics: Understanding a crucial resource,['KK Wallman'],2010,The Annals of the American Academy of …,https://journals.sagepub.com/doi/abs/10.1177/0002716210372485
Design and conceptual issues in realizing analytical enhancements through data linkages of employer and employee data,"['JM Abowd', 'J Lane', 'R Prevost']",2001,… on Integrating Federal Statistical …,https://books.google.com/books?hl=en&lr=&id=SM3rAAAAMAAJ&oi=fnd&pg=PA82&dq=Federal+Statistical+Research+Data+Centers&ots=lSOAvu6igt&sig=2wRbY7rsHpMQiNSA27PfF0lW83g
… protects the autonomy of the federal statistical agencies? An assessment of the procedures in place to protect the independence and objectivity of official US statistics,"['CF Citro', 'J Auerbach', 'KS Evans']",2023,Statistics and Public …,https://www.tandfonline.com/doi/abs/10.1080/2330443X.2023.2188062
Federal Cloud & Data Center Summit Report,"['JF Brunelle', 'AJ Bognar', 'V Dhawan', 'NG Parrish', 'A King']",2018,NA,https://www.mitre.org/sites/default/files/publications/PRS18-2725-1_june2018_federal_cloud__data_center_summit_report.pdf
Productivity Measurement and Analysis,['Federal Statistical Office'],2009,NA,https://books.google.com/books?hl=en&lr=&id=QOvVAgAAQBAJ&oi=fnd&pg=PA7&dq=Federal+Statistical+Research+Data+Centers&ots=ZqOOS4ifuU&sig=nA-XpHqLoJ7F73vDb9Csh-ENPqc
Facilitating Innovation in the Federal Statistical System: Summary of a Workshop,['H Habermann'],2011,NA,https://books.google.com/books?hl=en&lr=&id=f5j8NWM25gMC&oi=fnd&pg=PR1&dq=Federal+Statistical+Research+Data+Centers&ots=texozRpU01&sig=8YBc3JivSjlkG2sW9v-cGHd2jYE
"The Role of the Federal Statistical System in Evidence-based Policymaking, or How to Make the Statistical System Essential","[""MJ O'Grady""]",2010,The ANNALS of the American Academy of …,https://journals.sagepub.com/doi/abs/10.1177/0002716210374154
The future of federal statistics in the information age,['NM Bradburn'],1999,Journal of Official Statistics,https://search.proquest.com/openview/e40d76c0b6885d311f8b9bcb681a310c/1?pq-origsite=gscholar&cbl=105444
Synthetic data for small area estimation in the US Federal Statistical System,['JW Sakshaug'],2011,… /Eurostat Work Session on Statistical Data …,https://pdfs.semanticscholar.org/ff30/3c243c004d8cb759e20c6c8429a551f10d57.pdf
Parasol and greenswitch: Managing datacenters powered by renewable energy,"['Í Goiri', 'W Katsak', 'K Le', 'TD Nguyen']",2013,ACM SIGPLAN Notices,https://dl.acm.org/doi/abs/10.1145/2499368.2451123
Using Field Tests to Evaluate Federal Statistical Survey Questionnaires,"['BA Harris-Kojetin', 'JM Dahlhamer']",2011,Question Evaluation …,https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118037003#page=315
Data Available Through the Federal Statistical Research Data Centers (FSRDC) Network,['KR Genadek'],2018,PAA 2018 Annual Meeting,https://paa.confex.com/paa/2018/meetingapp.cgi/Paper/25856
Effects of a Government-Academic Partnership: Has the NSF-Census Bureau Research Network Helped Secure the Future of the Federal Statistical System?,"['D Weinberg', 'JM Abowd', 'RF Belli', 'N Cressie', 'DC Folch']",2017,NA,https://ecommons.cornell.edu/bitstream/1813/52650/2/NCRN%20synthesis%20report%2020171011.pdf
Increasing incidence of normal pressure hydrocephalus in Germany: an analysis of the Federal Statistical Office Database from 2005 to 2022,"['SG Thavarajasingam', 'A Salih', 'SR Namireddy']",2024,Scientific Reports,https://www.nature.com/articles/s41598-024-79569-8
Annotated list of sources and references,['FJW Statistics'],1989,NA,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/socrijus1991&section=13
Report on federal statistical needs.,['HC Chase'],1972,American Journal of Public Health,https://ajph.aphapublications.org/doi/pdf/10.2105/AJPH.62.2.252
Federal Statistics in the Policy making Process,['PR Orszag'],2010,The Annals of The American Academy of …,https://journals.sagepub.com/doi/abs/10.1177/0002716210374440
Transparent Reporting for Integrated Data Quality: Practices of Seven Federal Statistical Agencies,"['M Prell', 'C Chapman', 'S Adeshiyan', 'D Fixler', 'T Garin']",2020,NA,https://rosap.ntl.bts.gov/view/dot/72805
The structure and activities of the US federal statistical system: History and recurrent challenges,['RM Groves'],2010,The Annals of the American Academy of …,https://journals.sagepub.com/doi/abs/10.1177/0002716210374024
Data centers power reduction: A two time scale approach for delay tolerant workloads,"['Y Yao', 'L Huang', 'A Sharma']",2012,2012 proceedings …,https://ieeexplore.ieee.org/abstract/document/6195508/
Measuring scholarly use of government information: An altmetrics analysis of federal statistics,['T Das'],2015,Government Information Quarterly,https://www.sciencedirect.com/science/article/pii/S0740624X1500060X
Legislation and Regulations That Govern Federal Statistics,"['CF Citro', 'BA Harris-Kojetin']",2021,… a Federal Statistical …,https://www.ncbi.nlm.nih.gov/sites/books/n/nap25885/appA/
The Government Accountability Office and Congressional Uses of Federal Statistics,['N Kingsbury'],2010,The ANNALS of the American Academy of …,https://journals.sagepub.com/doi/abs/10.1177/0002716210374562
Directory of Federal Statistics for Local Areas: a guide to sources,[' . Bureau of the Census. Data User Services Division'],1978,NA,https://books.google.com/books?hl=en&lr=&id=MswDAAAAMAAJ&oi=fnd&pg=PA1&dq=Federal+Statistical+Research+Data+Centers&ots=cDZF6ewBTn&sig=YXjtjPDHkUD9TI7pLwwaaQpQSQ8
44 Years and Counting: CNSTAT's Role in Federal Statistics,['CF Citro'],2016,NA,https://ecommons.cornell.edu/bitstream/1813/45559/2/Citro-2016-NCRN-44-years-of-CNSTAT-2-22-16.pdf
Indicators and the federal statistical system: An essential but fraught partnership,"['NM Bradburn', 'CJE Fuqua']",2010,The ANNALS of the American …,https://journals.sagepub.com/doi/abs/10.1177/0002716210374289
Statistical Methods for Combining Multiple Data Sources,"['BA Harris-Kojetin', 'RM Groves']",2017,Federal Statistics …,https://www.ncbi.nlm.nih.gov/books/NBK475774/
Principles and practices for a federal statistical agency,['National Research Council'],2009,NA,https://nap.nationalacademies.org/catalog/12564/principles-and-practices-for-a-federal-statistical-agency-fourth-edition
Trust and credibility in the US Federal Statistical System,"['J Hunter Childs', 'A Clark Fobia', 'R King']",2019,Survey Methods: Insights …,https://www.ssoar.info/ssoar/handle/document/61957
Window on Washington: Innovations in the Federal Statistical System,"['D Cork', 'M Cohen']",2002,CHANCE,https://www.tandfonline.com/doi/pdf/10.1080/09332480.2002.10554825
Indicators of children's well-being: A review of current indicators based on data from the federal statistical system,['BV Brown'],1997,Indicators of Children's Well-Being (Russell Sage …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=c8a31db8d9e155dfe36b897198f22d74bea5dda4#page=40
Finding the lost generation: Identifying second-generation immigrants in federal statistics,['DS Massey'],2018,The Annals of the American Academy of …,https://journals.sagepub.com/doi/abs/10.1177/0002716218760506
Labor Market I. Data from the German Federal Employment Services,"['S Bender', 'J Möller']",2009,NA,https://www.econstor.eu/handle/10419/186204
ASA Advisory Committees to Federal Statistical Agencies: A Report of the Committee on Committees of the American Statistical Association,['ED Goldfield'],1975,American Statistician,https://www.jstor.org/stable/2683278
Problems with the federal economic statistical system and some alternatives for improvement,['BG Malkiel'],1978,The American Statistician,https://www.tandfonline.com/doi/abs/10.1080/00031305.1978.10479262
Why are we going backward? Barriers to disaggregated racial information in federal data sets,"['A Jamal', 'M Srinivasan', 'G Kim']",2023,… Journal of Public …,https://ajph.aphapublications.org/doi/abs/10.2105/AJPH.2023.307339
Privacy and confidentiality issues in federal-state cooperative programs of the Bureau of Labor Statistics,['SH Cohen'],2018,Retrieved,https://www.bls.gov/osmr/research-papers/2003/pdf/st030260.pdf
Access to Research Data: Reconciling Risk and Benefits,['E Singer'],2006,JL & Pol'y,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/jlawp14&section=12
The American Statistical Association and Federal Statistics: Presidential Address,['RT Bowman'],1964,Journal of the American Statistical Association,https://www.tandfonline.com/doi/pdf/10.1080/01621459.1964.10480698
"Developing “A framework for planning US Federal Statistics, 1978–1989”",['JW Duncan'],1977,The American Statistician,https://www.tandfonline.com/doi/abs/10.1080/00031305.1977.10479211
Differential privacy and federal data releases,['JP Reiter'],2019,Annual review of statistics and its application,https://www.annualreviews.org/content/journals/10.1146/annurev-statistics-030718-105142
Traffic engineering in data center networks: prediction and scheduling via randomized rounding for elephant flows,['JM BEZERRA'],2020,NA,N/A
When Women Didn't Count: The Chronic Mismeasure and Marginalization of American Women in Federal Statistics,['R Lopresti'],2017,NA,https://books.google.com/books?hl=en&lr=&id=TIzDEAAAQBAJ&oi=fnd&pg=PP1&dq=Federal+Statistical+Research+Data+Centers&ots=sfASOfqCIj&sig=Q6nwRq22VAWhVAcaAhvXRuCE1fQ
Investigation of Federal Bureau of Investigation bomb-related death and injury data in the United States between 1988 and 1997,"['EK Noji', 'CY Lee', 'T Davis', 'K Peleg']",2005,Military medicine,https://academic.oup.com/milmed/article-abstract/170/7/595/4578158
Revision and Implementation of Standards for Statistical Surveys for the US Federal Statistical System,"['BA Harris-Kojetin', 'KK Wallman']",NA,NA,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=3db9082c23d92b3f93cb88000d8634005112db71
Expanding statistical use of administrative data: a research proposal focused on privacy and confidentiality,['G GATES'],2009,… Committee on Statistical Methodology Research …,https://nces.ed.gov/FCSM/pdf/2009FCSM_Gates_IX-A.pdf
Window on Washington: Model-Based Small-Area Estimates: The Next Major Advance for the Federal Statistical System for the 21st Century,['CF Citro'],1998,Chance,https://www.tandfonline.com/doi/pdf/10.1080/09332480.1998.10542108
"Big-data computing: creating revolutionary breakthroughs in commerce, science and society","['R Bryant', 'RH Katz', 'ED Lazowska']",2008,NA,http://www.basexml.com/xdrp/demo/xconvertsample/pdf/big_data.pdf
"Recruitment, Training and Retention of Statisticians in the US Federal Statistical Agencies",['C Tucker'],2010,Journal of Official Statistics,https://search.proquest.com/openview/d495c4b031d3286fd5329e5bba6c6bb0/1?pq-origsite=gscholar&cbl=105444
Federal Statistics: Robust Information Tools for the Urban Investor,"['P Sabety', 'A Reamer']",NA,NA,https://www.brookings.edu/wp-content/uploads/2016/06/20051001_FedStats_RobustInfoTools.pdf
"Federated learning: Challenges, methods, and future directions","['T Li', 'AK Sahu', 'A Talwalkar']",2020,IEEE signal processing …,https://ieeexplore.ieee.org/abstract/document/9084352/
From overviews to previews to answers: integrated interfaces for federal statistics,['G Marchionini'],2000,"Final Report to Bureau of Labor Statistics, June",https://ils.unc.edu/~march/bls_final_report_99-00.pdf
Enhancing statistical literacy: Enriching our society,['KK Wallman'],1993,Journal of the American Statistical Association,https://www.tandfonline.com/doi/pdf/10.1080/01621459.1993.10594283
Improvements in Federal Statistical Programs for Small Areas,['A Mindlin'],1973,Public Administration Review,https://www.jstor.org/stable/974210
The impact of the reduction in federal government statistical publications and services on state government statistical agencies,"['WC Robinson', 'AA Stone']",1987,Government Publications Review,https://www.sciencedirect.com/science/article/pii/0277939087900215
Disclosure and Confidentiality Issues in the Federal Statistical Environment: Comments.,['JW Duncan'],1984,Review of Public Data Use,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=00922846&asa=N&AN=6641098&h=FqWr%2BIKrLeMJgiGF8t4%2BRf0r6KR8ch9hnLq64aRgPN4zd1uVI%2BuTdujarFrHnOUcGK2AK8quGH4OlzxpgenyzQ%3D%3D&crl=c
Enhancing access to microdata while protecting confidentiality: Prospects for the future,"['GT Duncan', 'RW Pearson']",1991,Statistical Science,https://projecteuclid.org/journals/statistical-science/volume-6/issue-3/Enhancing-Access-to-Microdata-While-Protecting-Confidentiality--Prospects-for/10.1214/ss/1177011681.short
Disclosure avoidance practices and research at the US Census Bureau: An update,['L Zayatz'],2007,Journal of Official Statistics,https://search.proquest.com/openview/c33f3b4891ad9fb8df82211e2ea930ea/1?pq-origsite=gscholar&cbl=105444
"US billion-dollar weather and climate disasters: data sources, trends, accuracy and biases","['AB Smith', 'RW Katz']",2013,Natural hazards,https://link.springer.com/article/10.1007/s11069-013-0566-5%23auth-Richard_W_-Katz
und der Länder: Fallpauschalenbezogene Krankenhausstatistik (research data centers of the federal statistical office: DRG statistics),['FDZSÄ des Bundes'],NA,NA,N/A
Responsible practices for data sharing.,"['G Alter', 'R Gonzalez']",2018,American Psychologist,https://psycnet.apa.org/record/2018-06770-004
"Risk, reputation and responsibility: Cybersecurity and centralized data in United States civilian federal agencies",['E Heeren-Moon'],2023,Telecommunications Policy,https://www.sciencedirect.com/science/article/pii/S0308596123000137
Big data: A survey,"['M Chen', 'S Mao', 'Y Liu']",2014,Mobile networks and applications,https://link.springer.com/article/10.1007/s11036-013-0489-0
Is there a future for surveys?,['PV Miller'],2017,Public Opinion Quarterly,https://academic.oup.com/poq/article-abstract/81/S1/205/3749195
Integrating comparable measures of disability in federal surveys: the national center for health statistics,['GE Hendershot'],2001,Seminar on Integrating Federal Statistical …,https://books.google.com/books?hl=en&lr=&id=SM3rAAAAMAAJ&oi=fnd&pg=PT1&dq=Federal+Statistical+Research+Data+Centers&ots=lSOAvu6iht&sig=pE3rRDLifXFM027-aV1ZfvsftJA
Measuring Markets: A Guide to the Use of Federal and State Statistical Data,['TA Nelson'],1979,NA,https://books.google.com/books?hl=en&lr=&id=GDuYguGhg-MC&oi=fnd&pg=PP6&dq=Federal+Statistical+Research+Data+Centers&ots=ATE2ntceL6&sig=KSrT0cLdMTfheifcyJbMSXAfbVI
Disclosure avoidance techniques at the US Census Bureau: Current practices and research,"['A Lauger', 'B Wisniewski', 'L McKenna']",2014,"… Research, US Census Bureau",https://www.census.gov/content/dam/Census/library/working-papers/2014/adrm/cdar2014-02-discl-avoid-techniques.pdf
Evaluated nuclear structure data file (ENSDF),['MR Bhat'],1992,Nuclear Data for Science and Technology …,https://link.springer.com/chapter/10.1007/978-3-642-58113-7_227
Disseminating government data effectively in the age of open data,"['M Sewadeh', 'J Sisson']",2018,Federal Data Science,https://www.sciencedirect.com/science/article/pii/B9780128124437000028
Statistical abstract of the United States,[],2009,NA,https://books.google.com/books?hl=en&lr=&id=qvjHdCHeG7oC&oi=fnd&pg=PR14&dq=Federal+Statistical+Research+Data+Centers&ots=NAf6IKaegR&sig=66N2sfswaicmdlHH4wdsr8FBjAs
Where are the questions about firearms?: an analysis of US Federal Public Health Survey Data Infrastructure,"['K Donelan', 'S Guzikowski', 'G Buonomo', 'A Galls']",2023,Annals of …,https://journals.lww.com/annalsofsurgery/fulltext/2023/08000/Where_Are_the_Questions_About_Firearms___An.22.aspx
Child development in the context of family and community resources: An agenda for national data collections,"['J Brooks-Gunn', 'B Brown', 'GJ Duncan']",1995,… federal statistics on …,https://books.google.com/books?hl=en&lr=&id=in5OAgAAQBAJ&oi=fnd&pg=PT35&dq=Federal+Statistical+Research+Data+Centers&ots=rOng3B4yqG&sig=z0Mxb6UQmgVFrT0b-cO_eGxXnBU
Federal Data on Educational Attainment and the Transition to Work,['National Research Council'],1995,Integrating Federal Statistics on …,https://www.ncbi.nlm.nih.gov/books/NBK232291/
Prevalence of bacterial vaginosis: 2001–2004 national health and nutrition examination survey data,"['JE Allsworth', 'JF Peipert']",2007,Obstetrics & Gynecology,https://journals.lww.com/greenjournal/fulltext/2007/01000/Prevalence_and_Correlates_of_Chlamydia.00018.aspx
Heart failure: the commonest reason for hospital admission in Germany: medical and economic perspectives,"['T Neumann', 'J Biermann', 'R Erbel']",2009,Deutsches …,https://pmc.ncbi.nlm.nih.gov/articles/PMC2689573/
Federal data on educational attainment and the transition to work,['AM Pallas'],1995,Integrating Federal Statistics on Children: Report of a …,https://books.google.com/books?hl=en&lr=&id=in5OAgAAQBAJ&oi=fnd&pg=PT130&dq=Federal+Statistical+Research+Data+Centers&ots=rOng3B4yqG&sig=unYCKjtRfh9E2KzWcQl24zX85NM
Estimating determinants of healthcare establishment locations with restricted federal administrative data,"['A Van Sandt', 'CW Carpenter', 'R Dudensing']",2021,Health …,https://onlinelibrary.wiley.com/doi/abs/10.1002/hec.4242
Language use and linguistic isolation: Historical data and methodological issues,"['P Siegel', 'E Martin', 'R Bruno']",2001,… Seminar on Integrating Federal Statistical …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=ce81b3e71cbba54fb41cc77156ee435aa4ff4a3c
USER DRIVEN INTEGRATED STATISTICAL SOLUTIONS DIGITAL GOVERNMENT BY THE PEOPLE FOR THE PEOPLE,"['E SEMINAIRE', 'C SEMINAR']",2000,NA,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=d430af975f8401548c19eceeaffca92f82c24199
Linking federal surveys with administrative data to improve research on families,"[""A O'Hara"", 'RM Shattuck']",2017,The ANNALS of the …,https://journals.sagepub.com/doi/abs/10.1177/0002716216678391
Cloud computing and information policy: Computing in a policy cloud?,"['PT Jaeger', 'J Lin', 'JM Grimes']",2008,Journal of Information Technology & …,https://www.tandfonline.com/doi/abs/10.1080/19331680802425479
The German socio-economic panel (SOEP),"['J Goebel', 'MM Grabka', 'S Liebig', 'M Kroh']",2019,Jahrbücher für …,https://www.degruyter.com/document/doi/10.1515/jbnst-2018-0022/html
Trends in big data analytics,"['K Kambatla', 'G Kollias', 'V Kumar', 'A Grama']",2014,Journal of parallel and …,https://www.sciencedirect.com/science/article/pii/S0743731514000057
Significance and challenges of big data research,"['X Jin', 'BW Wah', 'X Cheng', 'Y Wang']",2015,Big data research,https://www.sciencedirect.com/science/article/pii/S2214579615000076
Monitoring Changes in Health Care for Children and Families,['National Research Council'],1995,Integrating Federal Statistics on …,https://www.ncbi.nlm.nih.gov/books/NBK232281/
Federal funding of doctoral recipients: What can be learned from linked data,"['WY Chang', 'W Cheng', 'J Lane', 'B Weinberg']",2019,Research Policy,https://www.sciencedirect.com/science/article/pii/S0048733319300629
Statistical sources: Online resources for education and social science librarians,"['M Andrews', 'A Beesting', 'M Freeland', 'W Mann']",2010,College & Research …,http://crln.acrl.org/index.php/crlnews/article/view/8304/8396
A consumer food data system for 2030 and beyond,"['', 'Nutrition Policy Research for the Economic Research ']",2020,NA,https://books.google.com/books?hl=en&lr=&id=Lof4DwAAQBAJ&oi=fnd&pg=PR1&dq=Federal+Statistical+Research+Data+Centers&ots=0fExzLVqZT&sig=XZ5NJTigph06EQcilJctYoOOKVU
INTRODUCTION: The Federal Government and Social Science Information,['PB Allison'],1983,Behavioral & Social Sciences Librarian,https://www.tandfonline.com/doi/pdf/10.1300/J103v03n02_01
An introduction to the dataverse network as an infrastructure for data sharing,['G King'],2007,Sociological Methods & Research,https://journals.sagepub.com/doi/abs/10.1177/0049124107306660
Extracorporeal membrane oxygenation: evolving epidemiology and mortality,"['C Karagiannidis', 'D Brodie', 'S Strassmann']",2016,Intensive care …,https://link.springer.com/article/10.1007/s00134-016-4273-z
Preparing the workforce for digital curation,"['', 'Global Affairs', 'Board on Research Data']",2015,NA,https://books.google.com/books?hl=en&lr=&id=ZZ__CAAAQBAJ&oi=fnd&pg=PT4&dq=Federal+Statistical+Research+Data+Centers&ots=ZzmABUqc81&sig=Zg9Zd_Tr_q30uskyPv39Yu0WAf0
