Title,Authors,Year,Venue,DOI,Source
Senator Paul D. Wellstone Muscular Dystrophy Specialized Research Centers (NIH),,2023.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.33322,Crossref
STATISTICAL CHANNEL MODELS FOR MILLIMETER-WAVE WIRELESS DATA CENTERS,"Zaaimia, Touhami, Talbi, Nedil, Yagoub",2021.0,Progress In Electromagnetics Research M,https://doi.org/10.2528/pierm21042501,Crossref
Special Education Parent Information Centers—Technical Assistance for Parent Centers (ED),,2023.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.32827,Crossref
Federally Funded Research and Development Centers,Link,2024.0,Federal Investments in Research and Development in the United States,https://doi.org/10.4337/9781035330638.00013,Crossref
Trends in Automotive Battery Cell Design: A Statistical Analysis of Empirical Data,"Link, Neef, Wicke",2023.0,Batteries,https://doi.org/10.3390/batteries9050261,Crossref
Immigration and Business Dynamics: Evidence from U.S. Firms,Mahajan,2024.0,Journal of the European Economic Association,https://doi.org/10.1093/jeea/jvae022,Crossref
Statistical Discrepancies in Our Federal Data Programs,Mitchell,1995.0,Challenge,https://doi.org/10.1080/05775132.1995.11471839,Crossref
Research outputs from Federally Funded Research and Development Centers,Link,2024.0,Federal Investments in Research and Development in the United States,https://doi.org/10.4337/9781035330638.00014,Crossref
Research and Statistical Program of the Federal Emergency Relief Administration,Ross,1934.0,Journal of the American Statistical Association,https://doi.org/10.2307/2278065,Crossref
US Federal Reserve Systems,Unknown,,Wolfram Research Data Repository,https://doi.org/10.24097/wolfram.00837.data,Crossref
Numerical Data and Statistical Sources,Gardner,2018.0,Oxford Research Encyclopedia of African History,https://doi.org/10.1093/acrefore/9780190277734.013.366,Crossref
OPTIMIZATION OF THE STRUCTURE OF STATISTICAL FORM No. 68 CHARACTERIZING THE ACTIVITIES OF HEALTH CENTERS OF SIBERIAN FEDERAL DISTRICT,"Kutumova, Rossieva",2017.0,Siberian Medical Journal,https://doi.org/10.29001/2073-8552-2017-32-3-100-103,Crossref
Institute of Education Sciences: Statistical and Research Methodology in Research (ED),,2019.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.30536,Crossref
Revitalizing Federal Education Research and Development,Vinovskis,2001.0,,https://doi.org/10.3998/mpub.17342,Crossref
US Federal Outlays by Agency,Unknown,,Wolfram Research Data Repository,https://doi.org/10.24097/wolfram.67395.data,Crossref
Lazy Data Practices Harm Fairness Research,"Simson, Fabris, Kern",2024.0,"The 2024 ACM Conference on Fairness, Accountability, and Transparency",https://doi.org/10.1145/3630106.3658931,Crossref
"Comparison of satellite imagery based data, reanalysis data and statistical methods for mapping global solar radiation in the Lerma Valley (Salta, Argentina)","Ramirez Camargo, Dorner",2016.0,Renewable Energy,https://doi.org/10.1016/j.renene.2016.06.042,Crossref
Appendix: General Statistical Data,,,Chinese Research Perspectives Online,https://doi.org/10.1163/2213-6002_crpn_c9789004156388_034,Crossref
Quality of Service Trade-offs between Central Data Centers and Nano Data Centers,"Akhbar, Ovatman",2015.0,Proceedings of the 5th International Conference on Cloud Computing and Services Science,https://doi.org/10.5220/0005439101130118,Crossref
Statistical Downscaling of Gridded Wind Speed Data Using Local Topography,"Winstral, Jonas, Helbig",2017.0,Journal of Hydrometeorology,https://doi.org/10.1175/jhm-d-16-0054.1,Crossref
Federal Lands of the United States,Unknown,,Wolfram Research Data Repository,https://doi.org/10.24097/wolfram.45884.data,Crossref
Analysis on G-Hadoop for Big Data Computing Across Distributed Cloud Data Centers,Pamarthi,2021.0,International Journal of Science and Research (IJSR),https://doi.org/10.21275/sr24724164434,Crossref
Improving Data Quality Awareness in the United States Federal Statistical Agencies,Gonzalez,1994.0,The American Statistician,https://doi.org/10.2307/2685078,Crossref
The Federal Role in Research Funding: Independents and/or Labs/Centers?,Scandura,1984.0,Educational Researcher,https://doi.org/10.2307/1174626,Crossref
Statistical and Research Methodology in Education Grant Program (ED),,2020.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.31013,Crossref
Research and Statistical Program of the Federal Emergency Relief Administration,Ross,1934.0,Journal of the American Statistical Association,https://doi.org/10.1080/01621459.1934.10502720,Crossref
"Federal Reserve Bank of Atlanta, Consumer Payments Research Data Reports",,,,https://doi.org/10.29338/rdr,Crossref
Geographic Information Systems Research and Data Centers,Abresch,,Building a Virtual Library,https://doi.org/10.4018/9781591401063.ch004,Crossref
Collecting Statistical Data,Rayat,2018.0,Statistical Methods in Medical Research,https://doi.org/10.1007/978-981-13-0827-7_2,Crossref
"Federal statistical directory: The guide to personnel and data sources,",Beasley,1988.0,Government Information Quarterly,https://doi.org/10.1016/0740-624x(88)90014-7,Crossref
Federal statistical directory: The guide to personnel and data sources,Beasley,1989.0,Government Information Quarterly,https://doi.org/10.1016/0740-624x(89)90056-7,Crossref
Data Management: State-of-the-Practice at Open-Science Data Centers,Arora,2015.0,Handbook on Data Centers,https://doi.org/10.1007/978-1-4939-2092-1_37,Crossref
Federal Statistical Confidentiality and Business Data: Twentieth Century Challenges and Continuing Issues,"Anderson, Seltzer",2009.0,Journal of Privacy and Confidentiality,https://doi.org/10.29012/jpc.v1i1.563,Crossref
Data Trustees – They Do Work! The Example of Research Data Centers,"Fuß, Laible",2023.0,Proceedings of the Conference on Research Data Infrastructure,https://doi.org/10.52825/cordi.v1i.241,Crossref
A Critical Analysis of Enhanced Virtual Machine Selection and Planning Using Statistical Approaches in Cloud Data Centers,"Durairaj, Sridhar",2024.0,Cloud of Things,https://doi.org/10.1201/9781003390954-3,Crossref
Characterization of task allocation techniques in data centers based on information theory,"Lima, Aquino, Rosso, Curado",2024.0,Physica A: Statistical Mechanics and its Applications,https://doi.org/10.1016/j.physa.2023.129447,Crossref
Centers for Medicare and Medicaid Services,,2024.0,Federal Regulatory Guide,https://doi.org/10.4135/9781071920541.n81,Crossref
Systems in Data Centers,,2019.0,Energy‐Efficient Computing and Data Centers,https://doi.org/10.1002/9781119422037.ch1,Crossref
Software Monitoring in Data Centers,"Wu, Guo",2015.0,Handbook on Data Centers,https://doi.org/10.1007/978-1-4939-2092-1_42,Crossref
Statistical variational data assimilation,"Benaceur, Verfürth",2024.0,Computer Methods in Applied Mechanics and Engineering,https://doi.org/10.1016/j.cma.2024.117402,Crossref
Geographic Information Systems Research and Data Centers,Abresch,2003.0,Building a Virtual Library,https://doi.org/10.4018/978-1-59140-106-3.ch004,Crossref
Network Virtualization in Data Centers: A Data Plane Perspective,"Jiang, Prasanna",2015.0,Handbook on Data Centers,https://doi.org/10.1007/978-1-4939-2092-1_10,Crossref
High-performance data centers: A research roadmap,"Tschudi, Xu, Sartor, Stein",2004.0,,https://doi.org/10.2172/838173,Crossref
How the implementation of new network technologies influenced the changes of e-government federal data centers,Urbanczyk,2013.0,PROCEEDINGS OF 2013 International Conference on Sensor Network Security Technology and Privacy Communication System,https://doi.org/10.1109/sns-pcs.2013.6553834,Crossref
Climate Data Centers,,,SpringerReference,https://doi.org/10.1007/springerreference_28886,Crossref
"The Federal Statistical System's Response to Emerging Data Needs1,2",Triplett,1991.0,Journal of Economic and Social Measurement,https://doi.org/10.3233/jem-1991-173-403,Crossref
The Role of Federal Research Centers in Implementing the Strategic Priorities of Scientific and Technological Development of Russia,Samarin,2022.0,KnE Social Sciences,https://doi.org/10.18502/kss.v7i3.10447,Crossref
Institute of Education Sciences—Statistical and Research Methodology in Education (ED),,2021.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.31806,Crossref
"Structures, Functions, and Processes of Centers of Excellence: An Analysis of Federal Programs",,2024.0,,https://doi.org/10.7249/rra2304-1,Crossref
Tandem Outlier Detectors for Decentralized Data,"Heyden, Wilwer, Fouché, Thoma, Matthiesen, Gwosch",2022.0,34th International Conference on Scientific and Statistical Database Management,https://doi.org/10.1145/3538712.3538748,Crossref
Renewable Energy Integration in Cloud Data Centers,"Vaishnawi, J",2024.0,International Journal of Research Publication and Reviews,https://doi.org/10.55248/gengpi.5.0324.0737,Crossref
Physics Frontiers Centers (NSF),,2019.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.30431,Crossref
Comprehensive Centers Program (ED),,2019.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.30376,Crossref
"Skilled Immigration, R&amp;D Concentration, and Industry Consolidation","Aggarwal, Baxamusa",2024.0,The Review of Corporate Finance Studies,https://doi.org/10.1093/rcfs/cfae003,Crossref
Research on the dynamics of beam structures,"Unknown, Velikanov, Unknown, Artyukhin",2023.0,Ecological Bulletin of Research Centers of the Black Sea Economic Cooperation,https://doi.org/10.31429/vestnik-20-4-11-24,Crossref
Effective Air Distribution in Data Centers,"Wu, Buyya",2015.0,Cloud Data Centers and Cost Modeling,https://doi.org/10.1016/b978-0-12-801413-4.00008-8,Crossref
A Statistical Approach to Real-Time Updating and Automatic Scheduling of Physical Models,"Jiang, Deng, Lopez, Hamann",2013.0,Volume 2: Thermal Management; Data Centers and Energy Efficient Electronic Systems,https://doi.org/10.1115/ipack2013-73042,Crossref
The Nation’s Data at Risk: The First Annual Report on the Federal Statistical System,"Auerbach, McKay Bowen, Citro, Pierson, Seeskin",2025.0,Harvard Data Science Review,https://doi.org/10.1162/99608f92.ca01ab52,Crossref
Water Saving In Geo-Distributed Data Centers Using Markov Decision Process,,2017.0,International Journal of Recent Trends in Engineering and Research,https://doi.org/10.23883/ijrter.2017.3177.hfft8,Crossref
"Federal Statistical Systems as Data Sources for Intelligence, Investigative, or Prosecutorial Work","Anderson, Seltzer",2008.0,Encyclopedia of Quantitative Risk Analysis and Assessment,https://doi.org/10.1002/9780470061596.risk0721,Crossref
Western and Territorial Research Opportunities in Trans-Mississippi Federal Records Centers,"Tutorow, Abel",1971.0,Pacific Historical Review,https://doi.org/10.2307/3637707,Crossref
Centers for Chemical Innovation (NSF),,2020.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.31106,Crossref
Equity Assistance Centers Program (ED),,2022.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.32234,Crossref
Cyberinfrastructure Centers of Excellence (NSF),,2019.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.30751,Crossref
Centers for Chemical Innovation (NSF),,2022.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.32403,Crossref
Data Centers Sustainability: Approaches to Green Data Centers,"Fatima, Ehsan",2023.0,2023 International Conference on Communication Technologies (ComTech),https://doi.org/10.1109/comtech57708.2023.10165494,Crossref
Statistical precipitation bias correction of gridded model data using point measurements,"Haerter, Eggert, Moseley, Piani, Berg",2015.0,Geophysical Research Letters,https://doi.org/10.1002/2015gl063188,Crossref
Principles and Practices for a Federal Statistical Agency,,1992.0,,https://doi.org/10.17226/9043,Crossref
Federal Energy Centers,Clark,1976.0,Science News,https://doi.org/10.2307/3961003,Crossref
Statistical Analysis Centers (SACS),,2002.0,The Concise Dictionary of Crime and Justice,https://doi.org/10.4135/9781452229300.n1798,Crossref
Reviving the Federal Statistical System: International Aspects,Lipsey,1990.0,,https://doi.org/10.3386/w3240,Crossref
[Improving the Federal Statistical System: Report of the President's Reorganization Project for the Federal Statistical System]: Comment,Taeuber,1981.0,The American Statistician,https://doi.org/10.2307/2683288,Crossref
A Round Table Discussion of Federal Statistics: The Federal Census,Rossiter,1919.0,Publications of the American Statistical Association,https://doi.org/10.2307/2965005,Crossref
The Federal statistical directory: A guide to personnel and data sources,"Peek, Hagerty-Roach",1989.0,Government Information Quarterly,https://doi.org/10.1016/0740-624x(89)90062-2,Crossref
Federal statistical data bases: A comprehensive catalog of current machine-readable and online files,Watson,1989.0,Government Publications Review,https://doi.org/10.1016/0277-9390(89)90030-7,Crossref
$68M for environmental finance centers available,,2022.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.32341,Crossref
,,2023.0,"Federal Reserve Bank of Atlanta, Consumer Payments Research Data Reports",https://doi.org/10.29338/rdr2023-01,Crossref
,,2020.0,"Federal Reserve Bank of Atlanta, Consumer Payments Research Data Reports",https://doi.org/10.29338/rdr2020-01,Crossref
Ocean and Coastal Mapping Centers (DOC),,2020.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.31018,Crossref
,,2023.0,"Federal Reserve Bank of Atlanta, Consumer Payments Research Data Reports",https://doi.org/10.29338/rdr2023-03,Crossref
,,2024.0,"Federal Reserve Bank of Atlanta, Consumer Payments Research Data Reports",https://doi.org/10.29338/rdr2024-02,Crossref
Autism Centers of Excellence—Networks (NIH),,2021.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.31960,Crossref
THE EXPERIENCE OF STATISTICAL SERVICES AND INTERNATIONAL ORGANIZATIONS IN USING DATA VISUALIZATION TOOLS,"Unknown, Davletshina, Dolgikh, Unknown",2024.0,"EKONOMIKA I UPRAVLENIE: PROBLEMY, RESHENIYA",https://doi.org/10.36871/ek.up.p.r.2024.10.02.009,Crossref
Special Education Parent Information Centers (ED),,2025.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.34114,Crossref
,,2022.0,"Federal Reserve Bank of Atlanta, Consumer Payments Research Data Reports",https://doi.org/10.29338/rdr2022-01,Crossref
Data on Federal Research and Development Investments,,2010.0,,https://doi.org/10.17226/12772,Crossref
,,2021.0,"Federal Reserve Bank of Atlanta, Consumer Payments Research Data Reports",https://doi.org/10.29338/rdr2021-01,Crossref
,,2020.0,"Federal Reserve Bank of Atlanta, Consumer Payments Research Data Reports",https://doi.org/10.29338/rdr2020-03,Crossref
,,2023.0,"Federal Reserve Bank of Atlanta, Consumer Payments Research Data Reports",https://doi.org/10.29338/rdr2023-02,Crossref
,,2024.0,"Federal Reserve Bank of Atlanta, Consumer Payments Research Data Reports",https://doi.org/10.29338/rdr2024-03,Crossref
,,2022.0,"Federal Reserve Bank of Atlanta, Consumer Payments Research Data Reports",https://doi.org/10.29338/rdr2022-02,Crossref
,,2024.0,"Federal Reserve Bank of Atlanta, Consumer Payments Research Data Reports",https://doi.org/10.29338/rdr2024-01,Crossref
Data Mining Research: Current Status and Future Opportunities,Hirsh,2008.0,Statistical Analysis and Data Mining: The ASA Data Science Journal,https://doi.org/10.1002/sam.10003,Crossref
Evaluating Data Fusion Methods to Improve Income Modeling,"Emmenegger, Münnich, Schaller",2023.0,Journal of Survey Statistics and Methodology,https://doi.org/10.1093/jssam/smac033,Crossref
[Improving the Federal Statistical System: Report of the President's Reorganization Project for the Federal Statistical System]: Comment,Martin,1981.0,The American Statistician,https://doi.org/10.2307/2683287,Crossref
Multiperil Rate Making for Property Insurance Using Longitudinal Data,"Yang, Shi",2018.0,Journal of the Royal Statistical Society Series A: Statistics in Society,https://doi.org/10.1111/rssa.12419,Crossref
restatis: R Wrapper to Access a Wide Range of Germany's Federal Statistical System Databases Based on the GENESIS Web Service RESTful API of the German Federal Statistical Office (Statistisches Bundesamt/Destatis),"Buhl, Kovacevic, Le Jeune, Nguyen, Ritter",2023.0,CRAN: Contributed Packages,https://doi.org/10.32614/cran.package.restatis,Crossref
[Improving the Federal Statistical System: Report of the President's Reorganization Project for the Federal Statistical System]: Comment,Moses,1981.0,The American Statistician,https://doi.org/10.2307/2683289,Crossref
[Improving the Federal Statistical System: Report of the President's Reorganization Project for the Federal Statistical System]: Comment,Duncan,1981.0,The American Statistician,https://doi.org/10.2307/2683291,Crossref
Basic Statistical Concepts,,2009.0,Statistical Methods for Practice and Research: A Guide to Data Analysis Using SPSS,https://doi.org/10.4135/9788132108306.n2,Crossref
[Improving the Federal Statistical System: Report of the President's Reorganization Project for the Federal Statistical System]: Comment,Bonnen,1981.0,The American Statistician,https://doi.org/10.2307/2683290,Crossref
R3: A Hybrid Network Topology for Data Centers,Guo,2022.0,Data Center Networking,https://doi.org/10.1007/978-981-16-9368-7_5,Crossref
Improving Data Quality Awareness in the United States Federal Statistical Agencies,González,1994.0,The American Statistician,https://doi.org/10.1080/00031305.1994.10476011,Crossref
Ideal Architecture for Security Operation Center Complementing Data Centers: An Overview,"Srivastava, Nagpal",2021.0,International Journal of Science and Research (IJSR),https://doi.org/10.21275/sr211130123410,Crossref
Centers for Independent Living Competition—Guam (ACL),,2020.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.31062,Crossref
Centers for Medicare and Medicaid Services (CMS),,2022.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.32654,Crossref
Science and Technology Centers—Integrative Partnerships (NSF),,2021.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.32052,Crossref
Key requirements for optical interconnects within data centers,"Duranton, Dutoit, Menezo",2017.0,Optical Interconnects for Data Centers,https://doi.org/10.1016/b978-0-08-100512-5.00003-6,Crossref
Dependability-Oriented Resource Management Schemes for Cloud Computing Data Centers,"Jhawar, Piuri",2015.0,Handbook on Data Centers,https://doi.org/10.1007/978-1-4939-2092-1_45,Crossref
Sustainable and Resilient Network Infrastructure Design for Cloud Data Centers,"Qi, Liu, Gutierrez, Narang",2017.0,Service Science: Research and Innovations in the Service Economy,https://doi.org/10.1007/978-3-319-65082-1_11,Crossref
Federal statistical data bases: a comprehensive catalog of current machine-readable and online files,,1988.0,Choice Reviews Online,https://doi.org/10.5860/choice.26-0678,Crossref
Scalable three-dimensional optical interconnects for data centers,"Morris, Kodi, Louri",2017.0,Optical Interconnects for Data Centers,https://doi.org/10.1016/b978-0-08-100512-5.00009-7,Crossref
Science and Technology Centers—Integrative Partnerships (NSF),,2019.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.30350,Crossref
New Statistical Methods Inspired by Data Collected from Alcohol and Substance Abuse Research,"Buu, Li",2018.0,Oxford Scholarship Online,https://doi.org/10.1093/oso/9780190676001.003.0021,Crossref
The Federal Role in Research Funding: Independents and/or Labs/Centers?,Scandura,1984.0,Educational Researcher,https://doi.org/10.3102/0013189x013001024,Crossref
"Federal Court Cases: Integrated Data Base, 2006",Unknown,2007.0,ICPSR Data Holdings,https://doi.org/10.3886/icpsr04685.v3,Crossref
"Federal Court Cases: Integrated Data Base, 2008",Unknown,2009.0,ICPSR Data Holdings,https://doi.org/10.3886/icpsr25002.v3,Crossref
"Federal Court Cases: Integrated Data Base, 2010",Unknown,2011.0,ICPSR Data Holdings,https://doi.org/10.3886/icpsr30401.v2,Crossref
"Federal Court Cases: Integrated Data Base, 2004",Unknown,2005.0,ICPSR Data Holdings,https://doi.org/10.3886/icpsr04348.v2,Crossref
"Federal Court Cases: Integrated Data Base, 2005",Unknown,2006.0,ICPSR Data Holdings,https://doi.org/10.3886/icpsr04382,Crossref
Centers of Excellence at 1890 Institutions (USDA),,2020.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.31304,Crossref
Science and Technology Centers—Integrative Partnerships (NSF),,2024.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.33892,Crossref
Family‐to‐Family Health Information Centers (HRSA),,2021.0,Federal Grants &amp; Contracts,https://doi.org/10.1002/fgc.32009,Crossref
The Federal Funds Market: A Study by a Federal Reserve System Committee.,Zorn,1960.0,Journal of the American Statistical Association,https://doi.org/10.2307/2281934,Crossref
"Federal Court Cases: Integrated Data Base, 2004",Unknown,2005.0,ICPSR Data Holdings,https://doi.org/10.3886/icpsr04348,Crossref
"Federal Court Cases: Integrated Data Base, 2009",Unknown,2011.0,ICPSR Data Holdings,https://doi.org/10.3886/icpsr29661.v1,Crossref
"Federal Court Cases: Integrated Data Base, 2011",Unknown,2012.0,ICPSR Data Holdings,https://doi.org/10.3886/icpsr33622,Crossref
"Federal Court Cases: Integrated Data Base, 2002",Unknown,2004.0,ICPSR Data Holdings,https://doi.org/10.3886/icpsr04059,Crossref
"Federal Court Cases: Integrated Data Base, 2010",Unknown,2011.0,ICPSR Data Holdings,https://doi.org/10.3886/icpsr30401,Crossref
"Federal Court Cases: Integrated Data Base, 2011",Unknown,2012.0,ICPSR Data Holdings,https://doi.org/10.3886/icpsr33622.v2,Crossref
Summary Report of SDM 2008 Panel: Perspectives on Research Directions and Trends for the Data Mining Research Community,Kumar,2008.0,Statistical Analysis and Data Mining: The ASA Data Science Journal,https://doi.org/10.1002/sam.10011,Crossref
,,2019.0,,https://doi.org/10.3030/862528,Crossref
Investigating the Environmental Sustainability of Data Centers,Virmani,2025.0,The American Journal of Student Research,https://doi.org/10.70251/hyjr2348.311018,Crossref
"Federal Court Cases: Integrated Data Base, 2001",Unknown,2002.0,ICPSR Data Holdings,https://doi.org/10.3886/icpsr03415.v3,Crossref
"Federal Court Cases: Integrated Data Base, 2009",Unknown,2011.0,ICPSR Data Holdings,https://doi.org/10.3886/icpsr29661,Crossref
"Federal Court Cases: Integrated Data Base, 2008",Unknown,2009.0,ICPSR Data Holdings,https://doi.org/10.3886/icpsr25002.v4,Crossref
HCN: A Server-Centric Network Topology for Data Centers,Guo,2022.0,Data Center Networking,https://doi.org/10.1007/978-981-16-9368-7_3,Crossref
"Federal Court Cases: Integrated Data Base, 2005",Unknown,2006.0,ICPSR Data Holdings,https://doi.org/10.3886/icpsr04382.v2,Crossref
"Federal Court Cases: Integrated Data Base, 2006",Unknown,2007.0,ICPSR Data Holdings,https://doi.org/10.3886/icpsr04685.v2,Crossref
"Federal Court Cases: Integrated Data Base, 2005",Unknown,2006.0,ICPSR Data Holdings,https://doi.org/10.3886/icpsr04382.v3,Crossref
